Artist,Song,Mood
Marius MÃ¼ller-Westernhagen,Johnny W.,neg
The Dears,We Can Have It,neg
Frightened Rabbit,My Backwards Walk,neg
Diary of Dreams,The Curse,neg
Joni Mitchell,The Last Time I Saw Richard,neg
Isis,Threshold of Transformation,neg
Brad Paisley,Alcohol,pos
Sarah Vaughan,Lullaby Of Birdland,pos
Martha Wainwright,G.P.T.,pos
JoJo,Weak,pos
The Magnetic Fields,The Luckiest Guy On The Lower East Side,pos
Sufjan Stevens,"John Wayne Gacy, Jr.",neg
The Bangles,Eternal Flame,pos
Snoop Dogg,Sensual Seduction,pos
Bauhaus,The Passion of Lovers,neg
Jamie Cullum,Frontin',pos
Ziggy Marley,Shalom Salaam,pos
Mariah Carey,The One,pos
"Orton, Beth",Stolen Car,neg
Nat King Cole,Unforgettable,pos
Audioslave,Dandelion,pos
Godsmack,Voodoo Too,neg
Rihanna,Let Me,pos
Nick Cave and the Bad Seeds,And No More Shall We Part,neg
Omarion,Been With A Star,pos
Eels,Fresh Feeling,pos
The Subdudes,Why Can't I Forget About You,pos
Tunng,Spoons,pos
Flowing Tears,Portsall (Departure Song),neg
Metric,Raw Sugar,pos
The Hives,Won't Be Long,pos
Rachael Starr,Till There Was You (John Creamer & Stephane K Remix),neg
Tenacious D,Rock Your Socks,pos
Ray Charles,I Got a Woman,pos
The Dramatics,Whatcha See Is Whatcha Get,pos
Martina McBride,Wrong Again,neg
Goldie,Temper Temper,neg
Tara MacLean,Evidence,neg
Gorillaz,19-2000 (Soulchild Remix),pos
The Verve,The Drugs Don't Work,neg
Donovan,Sunshine Superman,pos
Showaddywaddy,Under the Moon of Love,pos
Thomas Dolby,I Scare Myself,pos
Alphabeat,Fascination,pos
Beck,E-Pro,pos
Ben Kweller,Wasted & Ready,pos
Klaxons,Golden Skans,pos
Vonray,Part Of Me (LP Version),neg
My Dying Bride,And My Fury Stands Ready,neg
Arctic Monkeys,Red Light Indicates Doors Are Secured,pos
"Harry Connick, Jr.",It Had To Be You (Big Band and Vocals),pos
Dave Matthews Band,Two Step,pos
The Cure,Three Imaginary Boys,neg
Rhapsody Of Fire,Son of Pain,neg
Patty Griffin,Heavenly Day,pos
Black Kids,I'm Not Gonna Teach Your Boyfriend How To Dance With You,pos
Sade,Nothing Can Come Between Us,pos
Britney Spears,Sometimes,pos
September,Satellites,pos
All Time Low,Poppin' Champagne,pos
Faithless,One Step Too Far,pos
Tenacious D,Inward Singing,pos
Nine Inch Nails,The Day The World Went Away,neg
Barry Adamson,The Sweetest Embrace,neg
The Puppini Sisters,Could It Be Magic,pos
Ice Cube,Dirty Mack,neg
IAMX,Song of Imaginary Beings,neg
Talk Talk,I Don't Believe in You,neg
Paolo Nutini,Million Faces,pos
Aphex Twin,54 Cymru Beats,neg
Madness,It Must Be Love,pos
Pearl Jam,4/20/2002,neg
New Found Glory,All Downhill From Here,pos
Hot Chip,Bad Luck,pos
Train,Meet Virginia,pos
Chris Rea,Driving Home For Christmas,pos
Erykah Badu,Rimshot (Intro),pos
The Zutons,Always Right Behind You,pos
Lollipop Lust Kill,No Answer (Outro),neg
Frou Frou,Maddening Shroud,pos
Jimmy Eat World,The Middle,pos
Spiller,Groovejet (If This Ain't Love),pos
Foo Fighters,Virginia Moon,pos
Ludacris,Get Back,neg
Riverside,Conceiving You,neg
Eric Clapton,Wonderful Tonight,pos
Secret Garden,Sleepsong,pos
Middle Of The Road,Chirpy Chirpy Cheep Cheep,pos
The Cure,Play,neg
Fiona Apple,Frosty The Snowman,pos
"Lightfoot, Gordon",Sundown,neg
Edyta GÃ³rniak,Be Good or Be Gone,pos
Red House Painters,Mistress,neg
Nine Inch Nails,Every Day Is Exactly The Same,neg
The Magic Numbers,Take A Chance,pos
Bob Marley & The Wailers,Could You Be Loved,pos
Remi Nicole,Fed Up,pos
Nine Inch Nails,My Violent Heart,neg
Creedence Clearwater Revival,Who'll Stop The Rain,pos
Soul Coughing,Circles,pos
Megadeth,Recipe for Hate...Warhorse,neg
Her Space Holiday,The Young Machines,pos
Britney Spears,I Run Away,neg
Bran Van 3000,Drinking In L.A.,pos
George Jones,He Stopped Loving Her Today,neg
Epica,Never Enough,neg
Soulsavers,Jesus Of Nothing,neg
JoJo,How To Touch A Girl,pos
Bis,Eurodisco,pos
Kashmir,No Balance Palace,neg
Belle & Sebastian,Stars of Track and Field,neg
Isobel Campbell & Mark Lanegan,Back Burner,pos
Limp Bizkit,The Propaganda,neg
Maximilian Hecker,I Am Falling Now,neg
Steve Miller Band,Abracadabra,pos
Bill Withers,Just The Two Of Us,pos
Natalie Imbruglia,Slow Down,pos
Pet Shop Boys,Love Comes Quickly,neg
The Postal Service,Brand New Colony,pos
Kirsty Hawkshaw,Just Be Me,pos
White Town,Your Woman,pos
Engineers,Forgiveness,pos
Frank the Baptist,Swing The Pendulum,neg
Dave Matthews Band,Granny,pos
Shawn Colvin,These Four Walls,neg
Low,Walk Into the Sea,neg
The Horrors,Little Victories,neg
Cher,Rain Rain,neg
Simon & Garfunkel,Fakin' It,pos
Butterfly Boucher,Another White Dash,pos
Amparanoia,Somos Viento,pos
Vanessa Paradis,Be My Baby,pos
Morcheeba,Otherwise,pos
Current 93,The Inmost Night,neg
Bing Crosby,Swinging On A Star,pos
Ella Fitzgerald,Manhattan,pos
40 Grit,A Part Of Me,neg
They Might Be Giants,Birdhouse In Your Soul,pos
RÃ¶yksopp,Happy Up Here,pos
Elliott Smith,Pretty Mary K,neg
L'Ame Immortelle,Fear,neg
Lenny Kravitz,Fly Away,pos
Frankie J,Gone,neg
Commodores,Easy,pos
Skinny Puppy,Candle,neg
Timo Rautiainen & Trio Niskalaukaus,Lintu,neg
Yo La Tengo,My Little Corner of the World,pos
Evanescence,Like You,neg
Radiohead,Subterranean Homesick Alien,neg
Katatonia,My Twin,neg
Goldfish,Times May Change You,pos
Mortal Love,I Want To Die,neg
Wilco,Dreamer in My Dreams,pos
The Berzerker,Free Yourself,neg
Isis,So Did We,neg
Gil Scott-Heron,No Knock,neg
Pete Francis,Untold,pos
Korn,Hey Daddy,neg
Hole,Violet,neg
Misfits,Some Kinda Hate,neg
Andrew Bird,Armchairs,pos
Sade,Paradise,pos
La Roux,Armour Love,pos
Tori Amos,Velvet Revolution,neg
Deep Blue Something,Breakfast At Tiffany's,pos
Stephen Lynch,Best Friends Song,pos
Rachael Yamagata,I Want You,pos
Peter Gallagher,Everytime It Rains,neg
Morcheeba,Blindfold,pos
Diana Krall,East Of The Sun (And West Of The Moon),pos
Iron Maiden,Face In The Sand,neg
Billie Jo Spears,It Makes No Difference Now,neg
Gary Numan,In A Dark Place,neg
Babyface,Soon As I Get Home,pos
LCD Soundsystem,On Repeat,pos
DJ Sammy,Beautiful Smile,pos
Maxi Priest,Close To You,pos
Mint Royale,Singin' In The Rain,pos
Peter Tosh,Brand New Second Hand,pos
Amici Forever,Whisper of Angels,pos
Katatonia,Departer,neg
Little Brother,Nighttime Maneuvers,pos
James Taylor,That Lonesome Road,neg
Ice Cube,The Predator,neg
The Horrors,Death At The Chapel,neg
Lamb of God,As the Palaces Burn,neg
Charlotte Gainsbourg,The Operation,pos
Bright Eyes,"Oh, You Are the Roots That Sleep Beneath My Feet and Hold the Earth in Place",pos
Orson,No Tomorrow,pos
Natasha Bedingfield,I Wanna Have Your Babies,pos
Rolling Stones,Let's Spend the Night Together,neg
Lisa Hannigan,I Don't Know,pos
Dragonette,Get Lucky,pos
Yanni,Until The Last Moment,pos
The Gathering,The Earth Is My Witness,neg
Helena Bonham Carter & Johnny Depp,Poor Thing,neg
D'Angelo,Jonz In My Bonz,pos
Guano Apes,You Can't Stop Me,neg
Saybia,The One For You,neg
Eartha Kitt,Just An Old Fashioned Girl,pos
Tori Amos,Professional Widow,neg
Broken Social Scene,Ibi Dreams of Pavement (A Better Day),pos
Alicia Keys,Troubles,pos
Demon Hunter,Deteriorate,neg
Skip James,Hard Time Killin' Floor Blues,neg
Novembre,Verne,neg
Smash Mouth,Walkin' On The Sun,pos
Shy Child,The Volume,pos
The Stylistics,You Make Me Feel Brand New,pos
Porcupine Tree,Russia on Ice,neg
She & Him,This Is Not a Test,pos
Weezer,My Name Is Jonas,pos
New Edition,Can You Stand The Rain,pos
R.E.M.,Sad Professor,neg
Tom Petty,Love Is A Long Road,pos
Reel Big Fish,Thank You For Not Moshing,pos
Britney Spears,Break The Ice,pos
of Montreal,I Was Never Young,pos
Hole,Dying,neg
Jonas Brothers,When You Look Me In The Eyes,pos
Hatebreed,Mark My Words (Album Version),neg
Passion Pit,Moth's Wings,pos
Doug Stone,I'd Be Better Off (In A Pine Box),neg
Butthole Surfers,22 Going on 23,neg
Delta Goodrem,In My Own Time,pos
16 Horsepower,Low Estate,neg
Travis,Coming Around,pos
Dishwalla,Drawn Out,neg
Spahn Ranch,The Conversation,neg
Katatonia,Ghost of the Sun,neg
Jens Lekman,The Wrong Hands,pos
Bruce Robison,Travelin' Soldier,neg
"""Weird Al"" Yankovic",Polka Power!,pos
Right Said Fred,I'm Too Sexy,pos
The Feeling,Without You,pos
The Everly Brothers,It's All Over,neg
Van Morrison,Brown Eyed Girl,pos
Melanie Fiona,Monday Morning,pos
KT Tunstall,White Bird,pos
Krokus,Screaming in the Night,neg
Kiss,A World Without Heroes,neg
Air,Don't Be Light,pos
Donavon Frankenreiter,On My Mind,pos
Boyz II Men,I'll Make Love To You,pos
Tori Amos,Body and Soul,neg
Demon Hunter,The Tide Began To Rise,neg
Paradise Lost,Erased,neg
Sam Brown,Tea,pos
Eskimo Joe,London Bombs,neg
Jerry Lee Lewis,I'd Do It All Again,neg
The Rakes,Suspicious Eyes,pos
Adverts,Gary Gilmore's Eyes,neg
Brian Littrell,Wish,neg
New Model Army,Inheritance,neg
The Ataris,The Hero Dies in This One,neg
Erykah Badu,On & On,pos
Lenny Kravitz,If You Want It,pos
Korn,Proud,neg
UB40,Many Rivers To Cross,pos
Jennifer Saunders,Holding Out For A Hero,pos
Eurythmics,When Tomorrow Comes,pos
Smog,I Was a Stranger,neg
Abba,Dancing Queen,pos
Bob Dylan,Oh Sister,neg
Rogue Wave,Lake Michigan,pos
Lenny Kravitz,Love Revolution,pos
Foo Fighters,Hell,neg
Melissa Manchester,Midnight Blue,pos
Daft Punk,"Harder, Better, Faster, Stronger",pos
Soilent Green,Leaves of Three,neg
Bonnie Somerville,Winding Road,pos
Nirvana,You Know You're Right,neg
Martina McBride,I Can't Stop Loving You,neg
Blue Oyster Cult,Godzilla,neg
Silverchair,All Across the World,pos
Sophie Ellis-Bextor,Can't Have It All,neg
Jamie Cullum,Love Ain't Gonna Let You Down,pos
Anathema,Angelica,neg
John Denver,Calypso,pos
Mudvayne,Not Falling,neg
Soundgarden,4th Of July,neg
Lauryn Hill,To Zion,pos
The Breeders,Cannonball,pos
Ella Fitzgerald,Cheek To Cheek,pos
Jamie Cullum,Our Day Will Come,pos
Circle Jerks,Question Authority,neg
Spice Girls,Too Much,pos
Isaac Hayes,Theme From Shaft,pos
Kataklysm,The Road To Devastation,neg
Beach House,Lover Of Mine,pos
Afroman,Because I Got High,pos
The Jam,The Modern World,neg
Paper Route,Second Chances,neg
Dusty Springfield,I Only Want To Be With You,pos
Boy Kill Boy,No Conversation,pos
BjÃ¶rk,Headphones,pos
Nine Inch Nails,Mr. Self Destruct,neg
Bilal,Soul Sista,pos
Emperor,With Strength I Burn,neg
Razorlight,Get It And Go,pos
El Perro del Mar,This Loneliness,neg
Mylo,Need You Tonite,pos
The Fratellis,Cuntry Boys & City Girls,pos
Antimatter,Fighting for a Lost Cause,neg
Tom Waits,Black Wings,neg
Blackalicious,Sky Is Falling,neg
George Jones,Where Grass Won't Grow,neg
Leonard Cohen,"Seems So Long Ago, Nancy",neg
Eminem,Paul,neg
Edyta GÃ³rniak,I Don't Know What's on Your Mind,pos
Porcupine Tree,Shesmovedon,neg
Kelly Clarkson,My Life Would Suck Without You,pos
April Stevens,Teach Me Tiger,pos
Radiohead,A Wolf At The Door,neg
Eftos,Hyaluron,neg
Cathedral,Ebony Tears,neg
The Notorious B.I.G.,Ready to Die,neg
"Dylan, Bob","Don't Think Twice, It's All Right",neg
The Limp Twins,Sunday Driver,pos
Fiona Apple,Oh Well,neg
Filter,Take A Picture,pos
Bloodhound Gang,Uhn Tiss Uhn Tiss Uhn Tiss,pos
Current 93,I Have a Special Plan for This World,neg
Bon Jovi,My Guitar Lies Bleeding In My Arms,neg
Johnny Cash,The Long Black Veil,neg
Otep,Blood Pigs,neg
Kiuas,The Spirit of Ukko,neg
Rage Against the Machine,I'm Housin',neg
Robin Thicke,Everything I Can't Have,pos
William Shatner,Ideal Woman,pos
Beulah,I'll Be Your Lampshade,pos
Tori Amos,Marianne,neg
Anthrax,Among the Living,neg
SÃ©bastien Tellier,Divine,pos
Dilated Peoples,World On Wheels,neg
Anna Nalick,Forever Love (Digame),pos
Ella Fitzgerald,You're Laughing At Me,pos
TV on the Radio,Love Dog,neg
Placebo,Hardly Wait,neg
Nine Inch Nails,Ruiner,neg
D'Angelo,Spanish Joint,pos
Dave Matthews Band,Jimi Thing,pos
Sophie Milman,Agua De Beber,pos
Electric Light Orchestra,Don't Bring Me Down,pos
Pink Martini,Hang On Little Tomato,pos
BeyoncÃ©,Be With You,pos
Rozalla,Everybody's Free (To Feel Good),pos
Dixie Chicks,Not Ready To Make Nice,neg
Jefferson Starship,Miracles,pos
Bill Whelan,Riverdance,pos
Edyta GÃ³rniak,Anything,pos
Jack Johnson,All At Once,pos
Katatonia,Increase,neg
Erasure,Storm in a Teacup,neg
Smokie,Oh Carol,pos
Sick Puppies,All The Same,neg
KT Tunstall,Black Horse And The Cherry Tree,pos
Pinback,Bbtone,pos
Patsy Cline,I Cried All The Way To The Altar,neg
The Rocket Summer,Save,pos
Seal,Prayer For The Dying (Album Version),neg
Slipknot,Pulse of the Maggots,neg
RÃ¶yksopp,So Easy,pos
Byrds,Turn! Turn! Turn! (To Everything There Is a Season),neg
Calexico,All Systems Red,neg
Leona Naess,Heavy Like Sunday,neg
Ulver,Blinded by Blood,neg
Gwen Stefani,Bubble Pop Electric,pos
Engineers,Waved On,pos
The Chemical Brothers,Hold Tight London,pos
Crystal Castles,Good Time,pos
Cake,Hem of Your Garment,pos
James Taylor,Handy Man,pos
Abysmal Dawn,Compulsory Resurrection,neg
Anberlin,Hello Alone,neg
No Doubt,Making Out,pos
Fountains Of Wayne,Hey Julie,pos
Jack Johnson,Dreams Be Dreams,pos
The Black Ghosts,Full Moon,pos
Simon & Garfunkel,Homeward Bound,neg
"Cline, Patsy",Sweet Dreams,neg
Thievery Corporation,Until the Morning,pos
Badfinger,Baby Blue,neg
Ayreon,Day One: Vigil,neg
Rihanna,Hate That I Love You,pos
Placebo,Slave To The Wage,neg
Danzig,Cantspeak,neg
Clap Your Hands Say Yeah,The Skin of My Yellow Country Teeth,pos
Abba,Ring Ring,pos
Sarah Brightman,La Luna,pos
Porcupine Tree,The Sleep of No Dreaming,neg
PJ Harvey,Pocket Knife,neg
The Strokes,Between Love & Hate,neg
India.Arie,Brown Skin,pos
Garbage,When I Grow Up,pos
"Jones, George [1]",White Lightning,neg
Fairport Convention,Who Knows Where the Time Goes?,neg
Alice in Chains,Would?,neg
Jonas Brothers,Goodnight And Goodbye,pos
Nick Cave and the Bad Seeds,Carry Me,neg
Randy Travis,Wind In The Wire (Album Version),neg
Jack Johnson,Taylor,pos
Cypress Hill,Hits From The Bong,pos
Janis Joplin,Get It While You Can,pos
John Legend,Number One,pos
Jack Johnson,Mudfootball (For Moe Lerner),pos
Florence + The Machine,Cosmic Love,neg
Cavalera Conspiracy,Inflikted,neg
Anathema,Judgement,neg
Hot Tuna,Candy Man,neg
Amy Winehouse,Fuck Me Pumps,pos
Ben Kweller,Run,pos
Stabbing Westward,Drugstore,neg
Franz Ferdinand,All My Friends,pos
Vanessa Carlton,Rinse,neg
Tristan Prettyman,Echo,pos
Michael Jackson,Gone Too Soon,neg
Jimi Hendrix,May This Be Love,pos
Tullycraft,Twee,pos
Icon of Coil,Floorkiller (Daedal remix),neg
Arctic Monkeys,Baby I'm Yours,pos
Kathy Mattea,Standing Knee Deep In a River (Dying Of Thirst),neg
Lenny Kravitz,Bring It On,pos
"Alexander, Arthur",Anna (Go to Him),neg
Arcade Fire,Old Flame,neg
Katatonia,Forsaker,neg
Joe Cocker,Highway Highway,neg
Susan Tedeschi,It Hurt So Bad,neg
Two Door Cinema Club,Something Good Can Work,pos
My Dying Bride,The Scarlet Garden,neg
"Pop, Iggy",Lust for Life,neg
BigElf,Falling Bombs,neg
The Damned,In Dulce Decorum,neg
Protest The Hero,Heretics & Killers,neg
Barry Louis Polisar,All I Want Is You,pos
Big Country,The Storm,neg
Blake Shelton,I Drink,neg
Electric Light Orchestra,All Over The World,pos
Corinne Bailey Rae,Call Me When You Get This,pos
Anita Baker,Sweet Love,pos
Trace Adkins,Help Me Understand,neg
Egotrippi,Matkustaja,neg
Tori Amos,Hotel,neg
Arctic Monkeys,Fake Tales Of San Francisco,neg
Jonathan Coulton,I Feel Fantastic,pos
Cake,"Mahna, Mahna",pos
Jack Johnson,Staple It Together,pos
brokeNCYDE,Schitzo,neg
Placebo,Song To Say Goodbye (Live),neg
Lou Reed,Street Hassle,neg
DMX,We in Here,neg
Natalie Cole,Take A Look  (LP Version),neg
Angels & Airwaves,Love Like Rockets,pos
Grand Archives,Swan Matches,pos
The Band,The Night They Drove Old Dixie Down (alternate mix),neg
Concrete Blonde,Caroline,neg
Anathema,Emotional Winter,neg
Rage Against the Machine,War Within A Breath,neg
Kings Of Convenience,Toxic Girl,pos
Townes Van Zandt,Snake Mountain Blues,neg
Willie Nelson,Fire and Rain,neg
Mott The Hoople,All The Young Dudes,pos
Ryan Adams,Wish You Were Here,neg
Cornershop,Brimful Of Asha,pos
Godsmack,I Fucking Hate You,neg
Duke Ellington,Sophisticated Lady,pos
JC Chasez,Dear Goodbye,neg
Deep Forest,Forest Hymn,pos
311,Amber,pos
Sublime,What I Got,pos
Mando Diao,All My Senses,neg
Bobby McFerrin,Don't Worry Be Happy,pos
The New Pornographers,Miss Teen Wordpower,pos
Silverchair,Do You Feel The Same,neg
SWV,I'm So Into You,pos
Erik Hassle,Hurtful,neg
Joe Nichols,Tequila Makes Her Clothes Fall Off,pos
Less Than Jake,History Of A Boring Town,pos
RÃ³isÃ­n Murphy,Overpowered,pos
Hope of the States,Me Ves Y Sufres,neg
Panzer AG,Battlefield,neg
Krokus,Long Stick Goes Boom,neg
Thrice,Come All You Weary,neg
Tenacious D,Kielbasa,pos
Hot Chip,Alley Cats,pos
The Puppini Sisters,It Don't Mean A Thing (If It Ain't Got That Swing),pos
Evanescence,Taking Over Me,neg
Violent Femmes,Jesus Walking On The Water,pos
Simon & Garfunkel,I Am A Rock,neg
Something Corporate,Only Ashes,neg
Margaret Berger,Robot Song,neg
Arctic Monkeys,Fluorescent Adolescent,pos
Bobby McFerrin,"Don't Worry, Be Happy",pos
Katie Melua,belfast,pos
OK Go,A Million Ways,pos
Michael BublÃ©,Crazy Little Thing Called Love,pos
The Suicide Machines,Your Silence,neg
Joss Stone,Headturner,pos
Gene Autry,Mexicali Rose,neg
Simple Minds,See The Lights (2002 Digital Remaster),neg
Slayer,Overt Enemy,neg
The Cooper Temple Clause,Did You Miss Me?,neg
The Polyphonic Spree,Section 18 (Everything Starts At The Seam),pos
Justin Timberlake,Rock Your Body,pos
Hinder,Bliss (I Don't Wanna Know),neg
Dead Kennedys,Terminal Preppie,neg
Eels,Cancer for the Cure,neg
The Last Shadow Puppets,Standing Next to Me,pos
Silverchair,Lie To Me,neg
Bob Dylan,Country Pie,pos
Bob Seger & The Silver Bullet Band,Get Out of Denver,neg
Procol Harum,All This and More,neg
Amoral,The Last Round,neg
Vanessa Carlton,Pretty Baby,pos
Elliott Smith,Junk Bond Trader,neg
Madeleine Peyroux,Dance Me To The End Of Love,pos
BjÃ¶rk,The Anchor Song,neg
"The Good, the Bad & the Queen",The Bunting Song,neg
Kelly Clarkson,You Thought Wrong,neg
The Maccabees,About Your Dress,pos
The Polyphonic Spree,Middle of the Day,neg
The Rolling Stones,Tie You Up (The Pain of Love),neg
Cauterize,Shooting Stars,neg
Reel Big Fish,Your Guts (I Hate 'Em),neg
Ringo Starr,No No Song,pos
AC/DC,Evil Walks,neg
Athlete,You Got The Style,pos
"Albert Hammond, Jr.",Cartoon Music for Superheroes,pos
Brother Ali,Walking Away,neg
Atomic Kitten,Ladies Night,pos
BeyoncÃ©,Ring The Alarm,neg
Remy Shand,Everlasting,pos
Fatboy Slim,Put It Back Together,pos
Shelby Lynne,Old Times Sake,neg
Teddy Geiger,These Walls,pos
Moxy FrÃ¼vous,King of Spain,pos
Audio Bullys,Get Myself on Track,neg
Norah Jones,Lonestar,pos
Alison Krauss,Jacob's Dream,neg
Melissa Auf der Maur,The Key,neg
Go-Betweens,Surfing Magazines,neg
Manic Street Preachers,The Intense Humming Of Evil,neg
The Honorary Title,Bridge and Tunnel,pos
The Prodigy,Voodoo People,neg
Twisted Sister,We're Not Gonna Take It,pos
Jump5,Beauty And The Beast,pos
Tenacious D,One Note Song,pos
The Killers,A White Demon Love Song (Soundtrack Album Version),neg
Architecture in Helsinki,Do The Whirlwind,pos
Happy Mondays,Grandbag's Funeral,neg
Brenda Lee,As Usual,neg
Primordial,Empire Falls,neg
Little Joy,Shoulder to Shoulder,pos
Miley Cyrus,7 Things,pos
Flying Burrito Brothers,Hot Burrito No. 1,neg
Erin O'Donnell,You Were The One (Wide Wide World Album Version),neg
Jesu,Silver,neg
EUROPE,The Final Countdown,pos
Tavares,Heaven Must Be Missing An Angel,pos
...And You Will Know Us By The Trail Of Dead,Novena Without Faith,neg
Social Distortion,Dear Lover,neg
Wilco,How To Fight Loneliness,neg
Venetian Snares,Dad,neg
Paradise Lost,Prelude To Descent,neg
Surface,Happy,pos
Anathema,Sleepless,neg
Demis Roussos,Forever And Ever,pos
Eric Prydz,Call On Me,pos
Chris Rea,Josephine,pos
Beatallica,Hey Dude,pos
The Feeling,Fill My Little World,pos
Enya,China Roses,pos
Novaspace,Guardian Angel,neg
Jason DerÃ¼lo,Whatcha Say,pos
Roxy Music,Just Another High,neg
Gorillaz,Demon Days,pos
Fountains Of Wayne,Valley Winter Song,pos
Ace of Base,The Juvenile,neg
Lily Holbrook,Welcome to the Slaughterhouse,neg
Relient K,Must Have Done Something Right,pos
Dimmu Borgir,The Chosen Legacy,neg
Casiotone For The Painfully Alone,Nashville Parthenon,neg
Kris Kristofferson,Snakebit,neg
Busta Rhymes,Genesis,neg
Stevie Wonder,You Are The Sunshine Of My Life,pos
Rufus Wainwright,Harvester Of Hearts,pos
Traveling Wilburys,Congratulations,neg
Marina & The Diamonds,Mowgli's Road,pos
Megadeth,Vortex,neg
New Radicals,Mother We Just Can't Get Enough,pos
Ice Cube,How to Survive in South Central,neg
Novembre,Child Of The Twilight,neg
Misfits,London Dungeon,neg
Richard Thompson,Sibella,neg
Ashton Shepherd,Old Memory,neg
Alesha Dixon,The Boy Does Nothing,pos
Jay-Z,Success,neg
Hole,Miss World,neg
The Delfonics,Didn't I (Blow Your Mind This Time),pos
Megadeth,Train of Consequences,neg
Bob Marley & The Wailers,Smile Jamaica,neg
Jack Johnson,Never Know,pos
Blondie,Dreaming,pos
Megadeth,Psychotron,neg
The Crash,Sugared,pos
Clannad,Newgrange,pos
Guy Sebastian,Kryptonite,pos
Brad Paisley,Little Moments,pos
Fatboy Slim,The Rockafeller Skank,pos
Snow Patrol,You're All I Have,pos
Left Banke,Walk Away Renee,neg
Sufjan Stevens,No Man's Land,pos
Jonathan Coulton,Mr. Fancy Pants,pos
Bob Dylan,Not Dark Yet,neg
Kelly Clarkson,I Do Not Hook Up,pos
D'Angelo,Smooth,pos
Muse,Megalomania,neg
Spiritualized,Death Take Your Fiddle,neg
BeyoncÃ©,Crazy In Love,pos
Tenacious D,Kyle Quit The Band,pos
She & Him,Sweet Darlin',pos
Children of Bodom,Downfall,neg
Cobra Starship,Keep It Simple,pos
Silverchair,Reflections of a Sound,pos
Macy Gray,Sex-o-matic Venus Freak,pos
The Moody Blues,Your Wildest Dreams,pos
Naughty By Nature,Family Tree,neg
RBD,Tu Amor,pos
Marilyn Manson,Burning Flag,neg
My Dying Bride,And I Walk With Them,neg
Junior Senior,"Go Junior, Go Senior",pos
David Gray,Sail Away (Biffco Radio Edit),pos
3 Doors Down,Loser,neg
Cat Stevens,Morning Has Broken,pos
DeGarmo & Key,Jericho  (Straight On Album Version),neg
Primordial,Gallows Hymn,neg
Toby Keith,She Never Cried in Front of Me,neg
Kaiser Chiefs,I Predict A Riot,pos
Stevie Wonder,For Once In My Life,pos
Deine Lakaien,Into My Arms,neg
Ayo,Down On My Knees,neg
"Dylan, Bob",Subterranean Homesick Blues,neg
Whipping Boy,Twinkle,neg
Alice In Chains,Got Me Wrong,neg
Less Than Jake,Just Like Frank,pos
Aimee Mann,Long Shot,neg
The Ditty Bops,Waking Up In the City,pos
Little Joy,The Next Time Around,pos
Shaggy,Oh Carolina,pos
The Gathering,Golden Grounds,neg
Minnie Riperton,Lovin' You,pos
Feist,My Moon My Man,pos
Phantom Planet,Do The Panic,pos
Merry Clayton,Yes,pos
Carpenters,An Old Fashioned Christmas,neg
Grant Lee Buffalo,Fuzzy,neg
Cocoon,Chupee,pos
Hot Chip,Out At The Pictures,pos
Franz Ferdinand,Michael,pos
Mike & The Mechanics,Over My Shoulder,pos
Rihanna,Shut Up and Drive,pos
Nick Cave & The Bad Seeds,Wings Off Flies (2009 Digital Remaster),neg
Priscilla Ahn,Find My Way Back Home,pos
Nine Inch Nails,Survivalism,neg
Ours,Black,neg
The Fratellis,Vince The Loveable Stoner,pos
"Harris, Wynonie",Good Rockin' Tonight,neg
Simon & Garfunkel,Mrs. Robinson,pos
Franz Ferdinand,Do You Want To (Erol Alkan's Glam Racket),pos
Kenny G,Don't Make Me Wait For Love,neg
Rob Zombie,Bring Her Down (To Crippletown),neg
Garbage,It's All Over But The Crying,neg
Zeromancer,Mosquito Coil,neg
BjÃ¶rk,Venus As A Boy,pos
The Rocket Summer,So Much Love,pos
Gary Numan,Absolution,neg
The Format,Snails,pos
Daath,Above Lucium (LP Version),neg
ATB,Collides with Beauty,pos
K's Choice,Iron Flower,neg
The Shangri-Las,I Can Never Go Home Anymore,neg
Coven,Coven In Charing Cross,neg
The Moldy Peaches,Anyone Else But You,pos
Dead Kennedys,Moon Over Marin,neg
Nina Simone,My Man's Gone Now,neg
Dexys Midnight Runners,Come On Eileen,pos
Jill Scott,Brotha,pos
Leonard Cohen,The Partisan,neg
Leon Russell,Stranger In A Strange Land,pos
Laura Fygi,Dream A Little Dream,pos
Backstreet Boys,I'll Never Break Your Heart,pos
Akon,Lonely,neg
Lost Boyz,Get Your Hustle On,neg
Savage Garden,Break Me Shake Me,neg
Burial,Untrue,neg
We Are The Fallen,I Am Only One,neg
Organized Konfusion,Hate,neg
Maroon 5,Makes Me Wonder,pos
The Cat Empire,Two Shoes,pos
Thrice,All That's Left,neg
Happy Mondays,Step On,neg
Bruce Springsteen,Downbound Train,neg
John Denver,"Take Me Home, Country Roads",pos
Ãon,Believe,neg
We The Kings,Stay Young,pos
Black Flag,Room 13,neg
The Dismemberment Plan,Time Bomb,neg
Britney Spears,If U Seek Amy,pos
Norah Jones,Nightingale,pos
Roxy Music,In Every Dream Home a Heartache,neg
Howie Day,Numbness For Sound,neg
"Emerson, Lake & Palmer",Still...You Turn Me On,pos
Dido,Thank You,neg
VAST,You're Too Young,neg
Brett Dennen,Darlin' Do Not Fear,pos
The Presidents of the United States of America,Back Porch,pos
Marilyn Manson,The Last Day On Earth,neg
